Date,Value
2015-10-23,6368249.32979
2015-10-22,6546667.91082
2015-10-21,6811545.34385
2015-10-20,7005373.07606
2015-10-19,4146928.22188
2015-10-18,3942590.94076
2015-10-17,7378777.67306
2015-10-16,7237489.64106
2015-10-15,5857389.07178
2015-10-14,6701017.94006
2015-10-13,6489474.05438
2015-10-12,5048207.9399
2015-10-11,1991663.5001
2015-10-10,4398058.72661
2015-10-09,3791162.80547
2015-10-08,3544977.56704
2015-10-07,5443412.05338
2015-10-06,7104493.0841
2015-10-05,4674509.05229
2015-10-04,3051262.57631
2015-10-03,4398547.94101
2015-10-02,5136638.31323
2015-10-01,3786233.91052
2015-09-30,5270879.91119
2015-09-29,4991164.28707
2015-09-28,5409704.00691
2015-09-27,2374274.02566
2015-09-26,3603087.92631
2015-09-25,5662004.77127
2015-09-24,6143939.93931
2015-09-23,2515124.09556
2015-09-22,4403511.70688
2015-09-21,2802222.98891
2015-09-20,3070520.89291
2015-09-19,3324257.51137
2015-09-18,4510620.17216
2015-09-17,3021589.47938
2015-09-16,3927533.70123
2015-09-15,4390462.45688
2015-09-14,4885952.06488
2015-09-13,3526922.19968
2015-09-12,3940288.00866
2015-09-11,3198606.73255
2015-09-10,5293523.60225
2015-09-09,5211016.68131
2015-09-08,6322302.20829
2015-09-07,6253952.4572
2015-09-06,5284299.88217
2015-09-05,4661730.02543
2015-09-04,4678278.55412
2015-09-03,4960784.0288
2015-09-02,4513201.22032
2015-09-01,5285395.00715
2015-08-31,3814154.66558
2015-08-30,3614395.12736
2015-08-29,3926243.55147
2015-08-28,5062241.00219
2015-08-27,3172231.28815
2015-08-26,7262770.6845
2015-08-25,10110194.3083
2015-08-24,5737263.80312
2015-08-23,3340102.00078
2015-08-22,3290821.05976
2015-08-21,2324137.63446
2015-08-20,4795997.86532
2015-08-19,6016070.54364
2015-08-18,2428063.44804
2015-08-17,1939477.64252
2015-08-16,2457715.62167
2015-08-15,1279542.14661
2015-08-14,2537895.24648
2015-08-13,2601765.979
2015-08-12,2902827.01076
2015-08-11,1851465.45608
2015-08-10,2729155.28567
2015-08-09,2590061.86639
2015-08-08,2251104.13602
2015-08-07,2555552.49955
2015-08-06,1891671.65385
2015-08-05,1847303.66227
2015-08-04,1718770.86364
2015-08-03,1780252.12684
2015-08-02,1231691.55728
2015-08-01,2084708.43761
2015-07-31,2293641.88344
2015-07-30,2745976.51328
2015-07-29,2745024.7158
2015-07-28,3886676.36882
2015-07-27,2693970.016
2015-07-26,1633205.21247
2015-07-25,2821464.94316
2015-07-24,3887226.08315
2015-07-23,2030312.57482
2015-07-22,2490978.0238
2015-07-21,2083742.55123
2015-07-20,2502265.57039
2015-07-19,1334571.80963
2015-07-18,2954144.36787
2015-07-17,3553708.15598
2015-07-16,6262766.45236
2015-07-15,2047775.77478
2015-07-14,3289740.47151
2015-07-13,8667679.21323
2015-07-12,6677463.4551
2015-07-11,4683709.26078
2015-07-10,7216507.33055
2015-07-09,3839394.28406
2015-07-08,4469428.10356
2015-07-07,4037671.08321
2015-07-06,6496801.86671
2015-07-05,4223919.90053
2015-07-04,1875664.25846
2015-07-03,2179138.46338
2015-07-02,2669145.66293
2015-07-01,3870044.77822
2015-06-30,5102700.85193
2015-06-29,3466515.28928
2015-06-28,1776223.69927
2015-06-27,1655413.08416
2015-06-26,960393.330711
2015-06-25,1256182.32866
2015-06-24,1660686.68979
2015-06-23,1177823.52299
2015-06-22,1174145.20952
2015-06-21,488875.566987
2015-06-20,1498695.21334
2015-06-19,1502419.59492
2015-06-18,3052713.67435
2015-06-17,4321270.16872
2015-06-16,4056676.69195
2015-06-15,2207160.22381
2015-06-14,1187052.31361
2015-06-13,802279.944095
2015-06-12,1164648.42708
2015-06-11,1390374.47144
2015-06-10,1320103.41759
2015-06-09,2215932.11102
2015-06-08,1672692.11949
2015-06-07,781109.490895
2015-06-06,803238.477854
2015-06-05,1887450.54278
2015-06-04,1129310.37472
2015-06-03,1172704.72219
2015-06-02,2086859.88626
2015-06-01,2404867.59715
2015-05-31,862849.440218
2015-05-30,1100197.16335
2015-05-29,1599476.10412
2015-05-28,1329201.29597
2015-05-27,1917704.58942
2015-05-26,1966702.79067
2015-05-25,1090396.64385
2015-05-24,704331.905985
2015-05-23,1284918.23032
2015-05-22,2072782.03936
2015-05-21,1188036.812
2015-05-20,1878977.71632
2015-05-19,1645994.51369
2015-05-18,1151300.87603
2015-05-17,735036.923305
2015-05-16,795922.661405
2015-05-15,1531716.97602
2015-05-14,2207220.56359
2015-05-13,1396294.36373
2015-05-12,2404838.89611
2015-05-11,1904904.06317
2015-05-10,812668.808367
2015-05-09,1638017.40519
2015-05-08,2975459.38757
2015-05-07,2515896.02661
2015-05-06,1347892.37273
2015-05-05,2093073.88106
2015-05-04,1535336.53776
2015-05-03,1041482.49385
2015-05-02,1266259.34956
2015-05-01,2008394.0045
2015-04-30,2664411.20956
2015-04-29,1833578.5136
2015-04-28,2701221.05147
2015-04-27,2518529.62011
2015-04-26,2205193.13275
2015-04-25,1441666.34578
2015-04-24,1785947.06855
2015-04-23,2574137.14255
2015-04-22,3082931.51057
2015-04-21,1214171.13658
2015-04-20,1314495.73344
2015-04-19,1282638.2878
2015-04-18,1085148.33899
2015-04-17,2048217.22006
2015-04-16,2376336.69346
2015-04-15,2666738.76691
2015-04-14,4257460.58428
2015-04-13,2112299.33052
2015-04-12,675937.431409
2015-04-11,1140185.63099
2015-04-10,2675116.12878
2015-04-09,2216224.72393
2015-04-08,2669120.52901
2015-04-07,1531937.93459
2015-04-06,1564105.63653
2015-04-05,1211778.66049
2015-04-04,815494.561008
